city,date,mean
Kraków,2011-03-05,116.375
Kraków,2011-03-06,30.5
Kraków,2011-03-07,57.77766666666667
Kraków,2011-03-08,121.486
Kraków,2011-03-09,152.18066666666667
Kraków,2011-03-10,144.736
Kraków,2011-03-11,82.111
Kraków,2011-03-12,145.08350000000002
Kraków,2011-03-13,136.04149999999998
Kraków,2011-03-14,84.91666666666667
Kraków,2011-03-15,121.54166666666667
Kraków,2011-03-16,104.5
Kraków,2011-03-17,64.639
Kraków,2011-03-18,44.94433333333333
Kraków,2011-03-19,59.27766666666667
Kraków,2011-03-20,74.56933333333333
Kraków,2011-03-21,110
Kraków,2011-03-22,129.92766666666665
Kraków,2011-03-23,94.77766666666666
Kraków,2011-03-24,55.708333333333336
Kraków,2011-03-25,58.111
Kraków,2011-03-26,57.736
Kraków,2011-03-27,46.125
Kraków,2011-03-28,77.68066666666667
Kraków,2011-03-29,108.25
Kraków,2011-03-30,132.394
Kraków,2011-03-31,118.34733333333334
Kraków,2011-04-01,68.625
Kraków,2011-04-02,98.08333333333333
Kraków,2011-04-03,62.986
Kraków,2011-04-04,65.80566666666667
Kraków,2011-04-05,59.81933333333333
Kraków,2011-04-06,70.44433333333333
Kraków,2011-04-07,39.514
Kraków,2011-04-08,31.75
Kraków,2011-04-09,32.514
Kraków,2011-04-10,25.927666666666667
Kraków,2011-04-11,37.80566666666667
Kraków,2011-04-12,46.72233333333333
Kraków,2011-04-13,29.069333333333333
Kraków,2011-04-14,31.986
Kraków,2011-04-15,61.59733333333333
Kraków,2011-04-16,88.44433333333333
Kraków,2011-04-17,78.93066666666667
Kraków,2011-04-18,76.27766666666666
Kraków,2011-04-19,73.41666666666667
Kraków,2011-04-20,61.94433333333333
Kraków,2011-04-21,70.47233333333334
Kraków,2011-04-22,63.22233333333333
Kraków,2011-04-23,52.291666666666664
Kraków,2011-04-24,31.486
Kraków,2011-04-25,41.861
