"title","genres","countries"
"Non-Stop","Action, Mystery, Thriller","UK, France, USA, Canada"
"Race to Witch Mountain","Action, Adventure, Family, Fantasy, Sci-Fi, Thriller","USA"
"I Am Number Four","Action, Adventure, Sci-Fi, Thriller","USA"
"The Book of Life","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","USA"
"American Reunion","Comedy","USA"
"The Judge","Crime, Drama","USA"
"Ninja Assassin","Action, Crime, Fantasy, Thriller","Germany, USA"
"Marmaduke","Comedy, Family","USA"
"Hereafter","Drama, Fantasy","USA"
"The Host","Action, Adventure, Romance, Sci-Fi, Thriller","USA, Switzerland"
"The International","Action, Crime, Drama, Mystery, Thriller","USA, Germany, UK, France"
"Free State of Jones","Action, Biography, Drama, History, War","USA"
"Run All Night","Action, Crime, Drama, Thriller","USA"
"Your Highness","Adventure, Comedy, Fantasy","USA"
"Dream House","Drama, Mystery, Thriller","USA, Canada"
"Gamer","Action, Sci-Fi, Thriller","USA"
"Beautiful Creatures","Drama, Fantasy, Romance","USA"
"Zoolander 2","Comedy","USA, Italy"
"Drive Angry","Action, Fantasy, Thriller","USA"
"Street Fighter: The Legend of Chun-Li","Action, Crime, Thriller","Canada, India, USA, Japan, Thailand"
"Pirate Radio","Comedy, Drama, Music","UK, Germany, France"
"Anna Karenina","Drama, Romance","UK"
"Chappie","Action, Crime, Drama, Sci-Fi, Thriller","South Africa, USA"
"Child 44","Crime, Drama, Thriller","Czech Republic, UK, USA, Russia"
"Taken 3","Action, Thriller","France, USA, Spain"
"Jonah Hex","Action, Drama, Fantasy, Thriller, Western","USA"
